spt,sptn,mass_ms,mass_ms_error,mass_prems, mass_prems_error  ,radius_ms,radius_ms_error,radius_prems,radius_prems_error,t_eff,conv_blueshift,conv_blueshift_error,grav_redshift_ms,grav_redshift_ms_error,grav_redshift_prems,grav_redshift_prems_error,total_shift_ms,total_shift_ms_error,total_shift_prems,total_shift_prems_error
,,m_sol,m_sol,m_sol,m_sol,r_sol,r_sol,r_sol,r_sol,K,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s
M7.5,67.5,0.084107461,0.021316576,0.025212682,0.0085702725,0.10809238,0.025722372,0.23599634,0.054803770,0.0000000,0.0000000,0.20600000,0.519309,0.165268,0.0786827,0.0318647,0.51930875,0.26410106,0.078682698,0.20844990
M8.0,68.0,0.081875640,0.020751007,0.022719909,0.0080483402,0.10146300,0.024862941,0.20470438,0.053224129,0.0000000,0.0000000,0.20600000,0.536796,0.186893,0.0740599,0.0314083,0.53679609,0.27814553,0.074059859,0.20838061
M8.5,68.5,0.079789524,0.020142866,0.020473596,0.0084199286,0.096106887,0.023929046,0.18530692,0.054150952,0.0000000,0.0000000,0.20600000,0.552700,0.201855,0.0706869,0.0297550,0.55270040,0.28841223,0.070686944,0.20813784
M9.0,69.0,0.078283828,0.019720746,0.016446133,0.0056342941,0.094177061,0.023544114,0.17615173,0.047935892,0.0000000,0.0000000,0.20600000,0.559209,0.204673,0.0671415,0.0280784,0.55920851,0.29039100,0.067141518,0.20790478
M9.5,69.5,0.076806546,0.019347570,0.014729861,0.0040508443,0.092636251,0.023234089,0.16750490,0.042317387,0.0000000,0.0000000,0.20600000,0.560686,0.204978,0.0641189,0.0262427,0.56068569,0.29060629,0.064118885,0.20766482
L0.0,70.0,0.075357141,0.018970335,0.014314473,0.0037178920,0.091541075,0.022886948,0.15934100,0.040668692,0.0000000,0.0000000,0.20600000,0.556746,0.202980,0.0608055,0.0242445,0.55674559,0.28920017,0.060805544,0.20742178
L1.0,71.0,0.072725008,0.018293256,0.013518510,0.0035288818,0.090711446,0.022559380,0.15366081,0.039265003,0.0000000,0.0000000,0.20600000,0.549796,0.198449,0.0591058,0.0226161,0.54979634,0.28603863,0.059105806,0.20723775
L2.0,72.0,0.070368384,0.017752782,0.012766807,0.0033519673,0.090162828,0.022407300,0.14936454,0.037961768,0.0000000,0.0000000,0.20600000,0.538225,0.191744,0.0574940,0.0220964,0.53822482,0.28142780,0.057493985,0.20718169
L3.0,73.0,0.066594415,0.017038961,0.012056902,0.0032568361,0.089922166,0.022426611,0.14531319,0.036100617,0.0000000,0.0000000,0.20600000,0.519843,0.184209,0.0553034,0.0215110,0.51984340,0.27634959,0.055303354,0.20712007
L4.0,74.0,0.062738617,0.016132198,0.011029879,0.0031686984,0.090076068,0.022469700,0.14228804,0.035413957,0.0000000,0.0000000,0.20600000,0.496599,0.175622,0.0523812,0.0210189,0.49659911,0.27070129,0.052381247,0.20706954
L5.0,75.0,0.058724315,0.015569031,0.010061440,0.0031534150,0.090496584,0.022556132,0.14029349,0.034920682,0.0000000,0.0000000,0.20600000,0.468839,0.164399,0.0489226,0.0205174,0.46883872,0.26355845,0.048922557,0.20701923
L6.0,76.0,0.053917990,0.014842888,0.0088958641,0.0030903457,0.091017167,0.022765745,0.13929085,0.034760636,0.0000000,0.0000000,0.20600000,0.437193,0.154514,0.0453010,0.0198613,0.43719262,0.25750839,0.045300972,0.20695524
L7.0,77.0,0.049714302,0.013609578,0.0080139870,0.0029605643,0.091619795,0.022960605,0.13862177,0.034665633,0.0000000,0.0000000,0.20600000,0.405974,0.145574,0.0419521,0.0191760,0.40597400,0.25224555,0.041952066,0.20689060
L8.0,78.0,0.047328284,0.013038463,0.0075665002,0.0028309962,0.092275013,0.023112115,0.13823794,0.034581792,0.0000000,0.0000000,0.20600000,0.378635,0.137347,0.0391064,0.0185558,0.37863469,0.24758850,0.039106399,0.20683404
